Algo, Seed, TP, TPMute, TPImp, PF, PFMute, PFImp, MacroMutingFreq, MicroMutingFreq, MacroMutingGain, MicroMutingGain

ea_pf_pf_8_uniform_deduction, 0, 471.54, 494.35, 4.84, 49.91, 56.91, 14.03, 31.04, 13.06, 32.6, 27.08
ea_pf_pf_8_uniform_deduction, 1, 444.75, 472.04, 6.13, 42.68, 50.99, 19.48, 27.08, 14.32, 37.61, 28.24
ea_pf_diff_8_uniform_deduction, 0, 498.46, 521.18, 4.56, 23.21, 25.51, 9.9, 57.28, 12.52, 3683.11, 28883.86
ea_pf_diff_8_uniform_deduction, 1, 467.58, 487.78, 4.32, 6.17, 8.17, 32.37, 55.27, 14.95, 360.31, 35932.94
mu_pf_8_debug, 0, 471.54, 485.72, 3.01, 49.91, 53.44, 7.07, 14.13, 7.17, 195.58, 47.88
mu_pf_8_debug, 1, 444.75, 462.29, 3.94, 42.68, 47.11, 10.38, 13.48, 8.45, 258.75, 45.43
mu_diff_8_debug, 0, 498.46, 531.87, 6.7, 23.21, 10.88, -53.11, 31.51, 1.49, 136.34, 32.55
mu_diff_8_debug, 1, 467.58, 508.14, 8.67, 6.17, 4.56, -26.01, 38.08, 1.4, 168.28, 35.86
uni_logs/160_newdep/ea_pf_pf_8_rollover/muting_0.log, 0, 473.4, 494.69, 4.5, 50.15, 57.05, 13.77, 30.8, 13.05, 32.31, 26.96
uni_logs/160_newdep/ea_pf_pf_8_rollover/muting_1.log, 1, 446.42, 473.62, 6.09, 42.83, 51.2, 19.55, 26.8, 14.31, 37.55, 28.0
uni_logs/160_newdep/ea_pf_diff_8_rollover/muting_0.log, 0, 501.45, 522.2, 4.14, 22.98, 25.53, 11.08, 57.16, 12.46, 6288.07, 28965.33
uni_logs/160_newdep/ea_pf_diff_8_rollover/muting_1.log, 1, 470.84, 489.77, 4.02, 3.17, 7.68, 142.25, 55.21, 14.91, 7104.24, 20304.07
uni_logs/160_newdep/mu_pf_8_rollover/muting_0.log, 0, 473.4, 482.51, 1.92, 50.15, 53.29, 6.26, 14.3, 7.12, 193.7, 47.25
uni_logs/160_newdep/mu_pf_8_rollover/muting_1.log, 1, 446.42, 459.76, 2.99, 42.83, 47.05, 9.85, 13.57, 8.35, 253.16, 44.86
uni_logs/160_newdep/mu_diff_8_rollover/muting_0.log, 0, 501.45, 527.33, 5.16, 22.98, 11.68, -49.18, 31.12, 1.44, 135.62, 32.35
uni_logs/160_newdep/mu_diff_8_rollover/muting_1.log, 1, 470.84, 504.57, 7.17, 3.17, -4.58, -244.42, 37.64, 1.36, 168.94, 36.34
uni_logs/160_newdep/ea_pf_pf_8_rollover/muting_0.log, 0, 473.4, 494.74, 4.51, 50.15, 57.08, 13.81, 30.88, 13.06, 32.32, 27.28
uni_logs/160_newdep/ea_pf_pf_8_rollover/muting_1.log, 1, 446.42, 472.8, 5.91, 42.83, 51.09, 19.27, 27.01, 14.3, 37.83, 28.05
uni_logs/160_newdep/ea_pf_diff_8_rollover/muting_0.log, 0, 501.45, 522.32, 4.16, 22.98, 25.35, 10.31, 57.23, 12.45, 8285.68, 27913.51
uni_logs/160_newdep/ea_pf_diff_8_rollover/muting_1.log, 1, 470.84, 489.32, 3.93, 3.17, 7.61, 139.99, 55.26, 14.92, 5079.77, 16956.47
uni_logs/160_newdep/mu_pf_8_rollover/muting_0.log, 0, 473.4, 483.14, 2.06, 50.15, 53.42, 6.51, 14.16, 7.12, 195.48, 47.23
uni_logs/160_newdep/mu_pf_8_rollover/muting_1.log, 1, 446.42, 459.62, 2.96, 42.83, 47.07, 9.88, 13.55, 8.37, 254.1, 45.04
uni_logs/160_newdep/mu_diff_8_rollover/muting_0.log, 0, 501.45, 526.52, 5.0, 22.98, 14.01, -39.05, 30.92, 1.46, 136.36, 32.63
uni_logs/160_newdep/mu_diff_8_rollover/muting_1.log, 1, 470.84, 504.08, 7.06, 3.17, 1.11, -64.89, 37.49, 1.35, 169.32, 35.1
uni_logs/160_newdep/ea_pf_diff_8_rollover/muting_2.log, 2, 484.11, 485.18, 0.22, 20.71, 18.57, -10.33, 51.31, 16.4, 5795.51, 28645.46
uni_logs/160_newdep/ea_pf_diff_8_rollover/muting_3.log, 3, 494.22, 514.11, 4.02, 7.31, 23.77, 225.35, 50.95, 15.29, 18420.39, 17457.45
uni_logs/160_newdep/ea_pf_diff_8_rollover/muting_4.log, 4, 533.51, 571.17, 7.06, 20.03, 20.99, 4.78, 59.27, 11.87, 64.84, 60219.38
uni_logs/160_newdep/ea_pf_diff_8_rollover/muting_5.log, 5, 530.99, 549.96, 3.57, 18.44, 20.96, 13.68, 52.01, 13.93, 43932.14, 13917.35
uni_logs/160_newdep/mu_diff_8_rollover/muting_2.log, 2, 484.11, 519.08, 7.23, 20.71, 20.06, -3.12, 42.25, 1.85, 140.87, 39.61
uni_logs/160_newdep/mu_diff_8_rollover/muting_3.log, 3, 494.22, 545.38, 10.35, 7.31, 10.69, 46.28, 44.67, 1.58, 143.27, 43.39
uni_logs/160_newdep/mu_diff_8_rollover/muting_4.log, 4, 533.51, 555.65, 4.15, 20.03, 20.33, 1.5, 32.52, 1.21, 147.53, 41.87
uni_logs/160_newdep/mu_diff_8_rollover/muting_5.log, 5, 530.99, 567.79, 6.93, 18.44, 23.91, 29.7, 35.64, 2.31, 146.26, 61.33
uni_logs/160_newdep/ea_pf_diff_8_rollover/muting_6.log, 6, 477.35, 491.52, 2.97, 12.23, 17.08, 39.67, 52.13, 15.71, 5238.2, 41503.76
uni_logs/160_newdep/ea_pf_diff_8_rollover/muting_7.log, 7, 431.14, 449.59, 4.28, 12.0, 15.14, 26.15, 54.31, 15.9, 1861.65, 23245.35
uni_logs/160_newdep/ea_pf_diff_8_rollover/muting_8.log, 8, 522.38, 557.36, 6.7, 18.36, 15.85, -13.69, 58.1, 13.29, 18010.46, 72807.55
uni_logs/160_newdep/ea_pf_diff_8_rollover/muting_9.log, 9, 470.91, 505.15, 7.27, 4.47, 10.28, 129.95, 59.88, 12.03, 1765.98, 26120.89
